@T,table
Created,2023-10-27 12:27
Author,HortonMachine library
@H,timestamp,value_1881
ID,,1881
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2022-09-14 19:00,0.3152290386804989
,2022-09-14 20:00,0.0
,2022-09-14 21:00,0.0
,2022-09-14 22:00,0.0
,2022-09-14 23:00,0.0
,2022-09-15 00:00,0.0
,2022-09-15 01:00,0.0
,2022-09-15 02:00,0.0
,2022-09-15 03:00,0.0
,2022-09-15 04:00,0.0
,2022-09-15 05:00,0.10512848292572763
,2022-09-15 06:00,0.0
,2022-09-15 07:00,0.10512848292572763
,2022-09-15 08:00,0.0
,2022-09-15 09:00,0.0
,2022-09-15 10:00,0.0
,2022-09-15 11:00,0.0
,2022-09-15 12:00,0.029886949141204433
,2022-09-15 13:00,0.0
,2022-09-15 14:00,0.06771632218952708
,2022-09-15 15:00,0.012845617900906608

